%% LaTeX2e file `HSthm-HSmsr.dat'
%% generated by the `filecontents' environment
%% from source `Jumlam_PosterK_4column' on 2023/07/27.
%%
                HS_thm HS_msr
                1.781440728 0.925436527
                1.785651376 1.085170025
                1.787735635 1.027713311
                1.782498659 1.045913291
                1.760671425 1.094309648
                1.787735635 1.15104453
                1.768471166 1.150212766
                1.77931432 1.26011236
                1.769571325 1.151819856
                1.776098332 1.252500343
                1.502818971 0.907053163
                1.512879552 1.042827713
                1.509535179 0.952282833
                1.51120852 0.957989748
                1.501134272 0.989520132
                1.526163172 1.182451424
                1.501302842 1.031007752
                1.502482211 0.900403351
                1.519540335 0.724198251
                1.501134272 0.877353529
                1.324569679 0.909190732
                1.324937643 0.929155313
                1.321072373 0.986915888
                1.323465588 1.024621212
                1.313331279 0.887096774
                1.315913161 0.964838394
                1.309086454 0.733436773
                1.326041332 0.895167286
                0.958556795 0.531089978
                0.958906454 0.580898876
                0.959081306 0.608042895
                0.958731617 0.530870712
                0.959081306 0.635545557
                0.956634768 0.607395324
                0.959431056 0.540311804
                0.95646013 0.524718468
                0.958556795 0.547893826
                0.954714602 0.645610278
                0.792888221 0.451327434
                0.792888221 0.377926685
                0.790392394 0.481381958
                0.793981875 0.44980695
                0.783557379 0.464839094
                0.791639619 0.434911243
                0.792419834 0.455155071
                0.79195164 0.393355983
                0.798366989 0.608601216
                0.800094292 0.48515625
                0.492276411 0.242943759
                0.528893957 0.280658651
                0.543862815 0.296883754
                0.553908234 0.308036891
                0.552905492 0.306913997
                0.542089448 0.294936947
                0.546948794 0.300287356
                0.551047756 0.304839279
                0.521368486 0.272679232
                0.499818992 0.25048407
            
